Entity,Code,Year,Annual CO₂ emissions,GDP per capita,Population (historical estimates)
Afghanistan,AFG,2021.0,11874211.0,1934.555,36686788.0
Albania,ALB,2021.0,4619109.0,11104.166,2877019.0
Algeria,DZA,2021.0,176269070.0,14228.025,41927008.0
Angola,AGO,2021.0,21362716.0,7771.442,31273538.0
Argentina,ARG,2021.0,186448290.0,18556.383,44413592.0
Armenia,ARM,2021.0,6806045.0,11454.425,2836563.0
Australia,AUS,2021.0,391187420.0,49830.8,24979228.0
Austria,AUT,2021.0,64625588.0,42988.07,8840518.0
Azerbaijan,AZE,2021.0,38492804.0,16628.055,10152524.0
Bahrain,BHR,2021.0,39016090.0,39498.766,1487346.0
Bangladesh,BGD,2021.0,93175944.0,4099.253,163683952.0
Barbados,BRB,2021.0,1125301.0,11995.187,279702.0
Belarus,BLR,2021.0,59602456.0,18727.318,9695573.0
Belgium,BEL,2021.0,95722280.0,39756.203,11448598.0
Benin,BEN,2021.0,7755815.0,2220.1765,11940688.0
Bolivia,BOL,2021.0,23321668.0,6695.7744,11606906.0
Bosnia and Herzegovina,BIH,2021.0,13566311.0,10460.5205,3400132.0
Botswana,BWA,2021.0,6499919.0,15842.13,2451411.0
Brazil,BRA,2021.0,488881100.0,14033.565,210166592.0
Bulgaria,BGR,2021.0,42560212.0,18444.26,7117424.0
Burkina Faso,BFA,2021.0,5698262.0,1589.6241,20392730.0
Burundi,BDI,2021.0,692908.0,651.3589,11493476.0
Cambodia,KHM,2021.0,19028598.0,3628.561,16025242.0
Cameroon,CMR,2021.0,9297284.0,2888.046,25076752.0
Canada,CAN,2021.0,545634500.0,44868.742,37035260.0
Cape Verde,CPV,2021.0,667694.0,6831.216,571209.0
Central African Republic,CAF,2021.0,227296.0,623.4889,5094795.0
Chad,TCD,2021.0,1939918.0,2046.3632,15604213.0
Chile,CHL,2021.0,85446920.0,22104.766,18701452.0
China,CHN,2021.0,11472369000.0,13101.706,1417069440.0
Colombia,COL,2021.0,91703380.0,13545.05,49276968.0
Comoros,COM,2021.0,298171.0,1724.4207,776322.0
Congo,COG,2021.0,7464369.0,5714.592,5441061.0
Costa Rica,CRI,2021.0,7819507.0,14686.254,5040738.0
Cote d'Ivoire,CIV,2021.0,11706642.0,3713.6436,25493990.0
Croatia,HRV,2021.0,17701450.0,22012.314,4160488.0
