Entity,Code,Year,Annual CO₂ emissions (per capita),GDP per capita,417485-annotations,Population (historical estimates),Continent
Afghanistan,AFG,2018,0.29487586,1934.555,,36686788.0,
Albania,ALB,2018,1.7323643,11104.166,,2877019.0,
Algeria,DZA,2018,4.1479607,14228.025,,41927008.0,
Angola,AGO,2018,0.72839534,7771.442,,31273538.0,
Argentina,ARG,2018,4.0663075,18556.383,,44413592.0,
Armenia,ARM,2018,2.0538187,11454.425,,2836563.0,
Australia,AUS,2018,16.6652,49830.8,,24979228.0,
Austria,AUT,2018,7.528652,42988.07,,8840518.0,
Azerbaijan,AZE,2018,3.4056375,16628.055,,10152524.0,
Bahrain,BHR,2018,22.044058,39498.766,,1487346.0,
Bangladesh,BGD,2018,0.5039817,4099.253,,163683952.0,
Barbados,BRB,2018,4.6007786,11995.187,,279702.0,
Belarus,BLR,2018,6.4044,18727.318,,9695573.0,
Belgium,BEL,2018,8.723656,39756.203,,11448598.0,
Benin,BEN,2018,0.6226188,2220.1765,,11940688.0,
Bolivia,BOL,2018,2.050414,6695.7744,,11606906.0,
Bosnia and Herzegovina,BIH,2018,6.4924054,10460.5205,,3400132.0,
Botswana,BWA,2018,3.0612,15842.13,,2451411.0,
Brazil,BRA,2018,2.2701142,14033.565,,210166592.0,
Bulgaria,BGR,2018,6.128069,18444.26,,7117424.0,
Burkina Faso,BFA,2018,0.24262862,1589.6241,,20392730.0,
Burundi,BDI,2018,0.05949706,651.3589,,11493476.0,
Cambodia,KHM,2018,0.89784485,3628.561,,16025242.0,
Cameroon,CMR,2018,0.38417488,2888.046,,25076752.0,
Canada,CAN,2018,15.778724,44868.742,,37035260.0,
Cape Verde,CPV,2018,1.0198998,6831.216,,571209.0,
Central African Republic,CAF,2018,0.043149922,623.4889,,5094795.0,
Chad,TCD,2018,0.12860341,2046.3632,,15604213.0,
Chile,CHL,2018,4.5166917,22104.766,,18701452.0,
China,CHN,2018,7.306542,13101.706,,1417069440.0,
Colombia,COL,2018,1.6727245,13545.05,,49276968.0,
Comoros,COM,2018,0.37757528,1724.4207,,776322.0,
Congo,COG,2018,1.2123058,5714.592,,5441061.0,
Costa Rica,CRI,2018,1.6325939,14686.254,,5040738.0,
Cote d'Ivoire,CIV,2018,0.40607384,3713.6436,,25493990.0,
Croatia,HRV,2018,4.2601137,22012.314,,4160488.0,
Cuba,CUB,2018,1.997767,8325.631,,11328243.0,
Cyprus,CYP,2018,6.024238,27184.416,,1218834.0,
Czechia,CZE,2018,10.094166,30748.508,,10534598.0,
Democratic Republic of Congo,COD,2018,0.028385177,859.3817,,87087352.0,
Denmark,DNK,2018,6.021649,46312.344,,5766689.0,
Djibouti,DJI,2018,0.36402908,3295.6814,,1057204.0,
Dominica,DMA,2018,2.2757764,9021.174,,70840.0,
Dominican Republic,DOM,2018,2.3924725,15912.399,,10765532.0,
Ecuador,ECU,2018,2.2476408,10638.825,,17015672.0,
Egypt,EGY,2018,2.3511283,11957.212,,103740768.0,
El Salvador,SLV,2018,1.0212243,8598.198,,6276340.0,
Equatorial Guinea,GNQ,2018,4.000029,28528.953,,1502102.0,
Estonia,EST,2018,13.565124,27408.664,,1322146.0,
Eswatini,SWZ,2018,0.89040095,8068.212,,1160430.0,
Ethiopia,ETH,2018,0.14224885,1838.4904,,111129440.0,
Gabon,GAB,2018,2.7335813,17613.557,,2192013.0,
Gambia,GMB,2018,0.24277644,1882.2399,,2444916.0,
Georgia,GEO,2018,2.6674635,11984.905,,3772323.0,
Germany,DEU,2018,9.100585,46177.617,,82896696.0,
Ghana,GHA,2018,0.55408466,4267.067,,30870648.0,
Guinea,GIN,2018,0.29358995,1606.4666,,12554871.0,
Guinea-Bissau,GNB,2018,0.16179088,1501.4136,,1924954.0,
Haiti,HTI,2018,0.30614442,1729.0432,,11012427.0,
Honduras,HND,2018,1.0069852,5041.6353,,9792854.0,
Hong Kong,HKG,2018,5.6940813,50839.37,,7481563.0,
Hungary,HUN,2018,5.059481,25622.812,,9776361.0,
Iceland,ISL,2018,10.366745,43438.543,,352951.0,
India,IND,2018,1.8995181,6806.4985,,1369003264.0,
Indonesia,IDN,2018,2.260322,11851.737,,267066848.0,
Iran,IRN,2018,8.186843,17011.305,,85617560.0,
Iraq,IRQ,2018,5.258127,12835.8125,,40590700.0,
Ireland,IRL,2018,8.069567,64684.3,,4834506.0,
Israel,ISR,2018,7.125526,32954.77,,8456487.0,
Italy,ITA,2018,5.828657,34364.168,,59877432.0,
Jamaica,JAM,2018,2.8758495,7272.9805,,2811842.0,
Japan,JPN,2018,9.056306,38673.81,,126255872.0,
Jordan,JOR,2018,2.3862228,11506.338,,10459864.0,
Kazakhstan,KAZ,2018,17.899391,25307.555,,18538100.0,
Kenya,KEN,2018,0.36372316,3377.4705,,49953300.0,
Kuwait,KWT,2018,22.478844,65520.74,,4317190.0,
Kyrgyzstan,KGZ,2018,1.7842895,5176.9883,,6223503.0,
Laos,LAO,2018,2.893467,6450.9067,,7105008.0,
Latvia,LVA,2018,4.06036,24312.678,,1935632.0,
Lebanon,LBN,2018,4.403218,12558.967,,5950842.0,
Lesotho,LSO,2018,1.0785148,2731.466,,2198030.0,
Liberia,LBR,2018,0.2212218,818.4211,,4889396.0,
Libya,LBY,2018,8.338614,15013.3125,,6477791.0,
Lithuania,LTU,2018,4.7603407,27370.555,,2876128.0,
Luxembourg,LUX,2018,15.736727,57427.5,,607920.0,
Madagascar,MDG,2018,0.14237654,1427.6003,,26846544.0,
